Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/click/globals.py:28(push_context)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 ./experiment:48(l_range)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/contextlib.py:237(helper)
        1    0.000    0.000    0.000    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/click/core.py:491(close)
        1    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/contextlib.py:81(__init__)
        1    0.000    0.000    0.000    0.000 ./experiment:88(<listcomp>)
        3    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
        1    0.000    0.000    0.000    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/click/core.py:445(meta)
        1    0.000    0.000    0.000    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/reportviews.py:180(__len__)
        1    0.000    0.000    0.000    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/reportviews.py:198(__call__)
        1    0.000    0.000    0.000    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/util/local_search_results.py:31(generate_file_name)
        1    0.000    0.000    0.000    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/util/local_search_results.py:36(get_ranges)
        1    0.000    0.000    0.000    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/util/local_search_results.py:94(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        2    0.000    0.000    0.000    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/click/core.py:126(augment_usage_errors)
        1    0.000    0.000    0.000    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/util/storage.py:4(__pickle_path)
